Sex	Autonomous Communities and Cities	Age	Periodo	Total
Both genders	National Total	From 16 to 19 years	2018QI	56,15
Both genders	National Total	From 16 to 19 years	2017QIV	54,2
Both genders	National Total	From 16 to 19 years	2017QIII	50,41
Both genders	National Total	From 16 to 19 years	2017QII	55,98
Both genders	National Total	From 16 to 19 years	2017QI	58,74
Both genders	National Total	From 16 to 19 years	2016QIV	58,67
Both genders	National Total	From 16 to 19 years	2016QIII	54,69
Both genders	National Total	From 16 to 19 years	2016QII	63,52
Both genders	National Total	From 16 to 19 years	2016QI	64,12
Both genders	National Total	From 16 to 19 years	2015QIV	66,09
Both genders	National Total	From 16 to 19 years	2015QIII	63,73
Both genders	National Total	From 16 to 19 years	2015QII	69,36
Both genders	National Total	From 16 to 19 years	2015QI	70,45
Both genders	National Total	From 16 to 19 years	2014QIV	67,28
Both genders	National Total	From 16 to 19 years	2014QIII	66,71
Both genders	National Total	From 16 to 19 years	2014QII	70,39
Both genders	National Total	From 16 to 19 years	2014QI	70,16
Both genders	National Total	From 16 to 19 years	2013QIV	75,53
Both genders	National Total	From 16 to 19 years	2013QIII	72,15
Both genders	National Total	From 16 to 19 years	2013QII	73
Both genders	National Total	From 16 to 19 years	2013QI	75,63
Both genders	National Total	From 16 to 19 years	2012QIV	73,88
Both genders	National Total	From 16 to 19 years	2012QIII	71,89
Both genders	National Total	From 16 to 19 years	2012QII	73,19
Both genders	National Total	From 16 to 19 years	2012QI	71,44
Both genders	National Total	From 16 to 19 years	2011QIV	69,15
Both genders	National Total	From 16 to 19 years	2011QIII	60,38
Both genders	National Total	From 16 to 19 years	2011QII	62,53
Both genders	National Total	From 16 to 19 years	2011QI	65,3
Both genders	National Total	From 16 to 19 years	2010QIV	63,67
Both genders	National Total	From 16 to 19 years	2010QIII	59,99
Both genders	National Total	From 16 to 19 years	2010QII	62,15
Both genders	National Total	From 16 to 19 years	2010QI	59,54
Both genders	National Total	From 16 to 19 years	2009QIV	57,47
Both genders	National Total	From 16 to 19 years	2009QIII	53,52
Both genders	National Total	From 16 to 19 years	2009QII	56,18
Both genders	National Total	From 16 to 19 years	2009QI	54,25
Both genders	National Total	From 16 to 19 years	2008QIV	45,83
Both genders	National Total	From 16 to 19 years	2008QIII	38,34
Both genders	National Total	From 16 to 19 years	2008QII	40,96
Both genders	National Total	From 16 to 19 years	2008QI	32,82
Both genders	National Total	From 16 to 19 years	2007QIV	31,08
Both genders	National Total	From 16 to 19 years	2007QIII	27,21
Both genders	National Total	From 16 to 19 years	2007QII	29,19
Both genders	National Total	From 16 to 19 years	2007QI	27,59
Both genders	National Total	From 16 to 19 years	2006QIV	31,23
Both genders	National Total	From 16 to 19 years	2006QIII	24,87
Both genders	National Total	From 16 to 19 years	2006QII	31,22
Both genders	National Total	From 16 to 19 years	2006QI	29,68
Both genders	National Total	From 16 to 19 years	2005QIV	27,83
Both genders	National Total	From 16 to 19 years	2005QIII	26,88
Both genders	National Total	From 16 to 19 years	2005QII	31,07
Both genders	National Total	From 16 to 19 years	2005QI	31,21
Both genders	National Total	From 16 to 19 years	2004QIV	29,04
Both genders	National Total	From 16 to 19 years	2004QIII	29,28
Both genders	National Total	From 16 to 19 years	2004QII	32,16
Both genders	National Total	From 16 to 19 years	2004QI	32,45
Both genders	National Total	From 16 to 19 years	2003QIV	32,07
Both genders	National Total	From 16 to 19 years	2003QIII	31,49
Both genders	National Total	From 16 to 19 years	2003QII	34,13
Both genders	National Total	From 16 to 19 years	2003QI	33,85
Both genders	National Total	From 16 to 19 years	2002QIV	31,55
Both genders	National Total	From 16 to 19 years	2002QIII	30,06
Both genders	National Total	From 16 to 19 years	2002QII	29,48
Both genders	National Total	From 16 to 19 years	2002QI	28,42
Both genders	National Total	From 20 to 24 years	2026QI	21,77
Both genders	National Total	From 20 to 24 years	2025QIV	21,78
Both genders	National Total	From 20 to 24 years	2025QIII	22,65
Both genders	National Total	From 20 to 24 years	2025QII	21,3
Both genders	National Total	From 20 to 24 years	2025QI	24,06
Both genders	National Total	From 20 to 24 years	2024QIV	22,02
Both genders	National Total	From 20 to 24 years	2024QIII	24,02
Both genders	National Total	From 20 to 24 years	2024QII	22,42
Both genders	National Total	From 20 to 24 years	2024QI	24,98
Both genders	National Total	From 20 to 24 years	2023QIV	25,72
Both genders	National Total	From 20 to 24 years	2023QIII	25,14
Both genders	National Total	From 20 to 24 years	2023QII	24,94
Both genders	National Total	From 20 to 24 years	2023QI	26,86
Both genders	National Total	From 20 to 24 years	2022QIV	26,47
Both genders	National Total	From 20 to 24 years	2022QIII	27,25
Both genders	National Total	From 20 to 24 years	2022QII	24,81
Both genders	National Total	From 20 to 24 years	2022QI	26,82
Both genders	National Total	From 20 to 24 years	2021QIV	27,2
Both genders	National Total	From 20 to 24 years	2021QIII	28,83
Both genders	National Total	From 20 to 24 years	2021QII	35,02
Both genders	National Total	From 20 to 24 years	2021QI	36,28
Both genders	National Total	From 20 to 24 years	2020QIV	36,52
Both genders	National Total	From 20 to 24 years	2020QIII	37,18
Both genders	National Total	From 20 to 24 years	2020QII	36,89
Both genders	National Total	From 20 to 24 years	2020QI	30,12
Both genders	National Total	From 20 to 24 years	2019QIV	27,72
Both genders	National Total	From 20 to 24 years	2019QIII	29,28
Both genders	National Total	From 20 to 24 years	2019QII	30,22
Both genders	National Total	From 20 to 24 years	2019QI	32
Both genders	National Total	From 20 to 24 years	2018QIV	30,78
Both genders	National Total	From 20 to 24 years	2018QIII	30,1
Both genders	National Total	From 20 to 24 years	2018QII	30,97
Both genders	National Total	From 20 to 24 years	2018QI	32,37
Both genders	National Total	From 20 to 24 years	2017QIV	33,95
Both genders	National Total	From 20 to 24 years	2017QIII	32,69
Both genders	National Total	From 20 to 24 years	2017QII	36,15
Both genders	National Total	From 20 to 24 years	2017QI	38,37
Both genders	National Total	From 20 to 24 years	2016QIV	39,83
Both genders	National Total	From 20 to 24 years	2016QIII	39,27
Both genders	National Total	From 20 to 24 years	2016QII	43,33
Both genders	National Total	From 20 to 24 years	2016QI	43,26
Both genders	National Total	From 20 to 24 years	2015QIV	42,52
Both genders	National Total	From 20 to 24 years	2015QIII	42,89
Both genders	National Total	From 20 to 24 years	2015QII	45,26
Both genders	National Total	From 20 to 24 years	2015QI	47,74
Both genders	National Total	From 20 to 24 years	2014QIV	48,88
Both genders	National Total	From 20 to 24 years	2014QIII	49,54
Both genders	National Total	From 20 to 24 years	2014QII	49,99
Both genders	National Total	From 20 to 24 years	2014QI	52,86
Both genders	National Total	From 20 to 24 years	2013QIV	50,93
Both genders	National Total	From 20 to 24 years	2013QIII	50,14
Both genders	National Total	From 20 to 24 years	2013QII	52,62
